stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
VISCGAL3,1878.0,Viscount at Galloway Cr NS NB - #1878,,42.949847,-81.269034,,,,,,0
VISCGARD,1879.0,Viscount at Gardenvale WB - #1879,,42.947631,-81.280906,,,,,,0
VISCPIVA,1883.0,Viscount at Pine Valley Dr EB - #1883,,42.947553,-81.280877,,,,,,0
VISCSTEE,1884.0,Viscount at Steeplechase EB - #1884,,42.947528,-81.283968,,,,,,0
VISCTAV1,1885.0,Viscount at Tavistock Rd NB - #1885,,42.953716,-81.268278,,,,,,0
VISCTAV2,1886.0,Viscount at Tavistock Rd 1 SB - #1886,,42.95324,-81.268281,,,,,,0
VISCVIGR,1888.0,Viscount at Village Green WB - #1888,,42.944876,-81.299283,,,,,,0
VISCWON1,1889.0,Saunders Secondary School EB - #1889,,42.946666,-81.291751,,,,,,0
VISCWON2,1890.0,Viscount East of Wonderland WB - #1890,,42.947195,-81.288537,,,,,,0
VISCWON3,1891.0,Viscount East of Wonderland EB - #1891,,42.947173,-81.288021,,,,,,0
VISCWON5,1893.0,Viscount West of Wonderland EB - #1893,,42.946911,-81.289895,,,,,,0
WELLALEX,1922.0,Wellington & Alexandra St NB - #1922,,42.967398,-81.232396,,,,,,0
WELLBAS1,1923.0,Wellington at South of BaselineNB - #1923,,42.961193,-81.230777,,,,,,0
WELLBAS2,1924.0,Wellington at Baseline SB - #1924,,42.961977,-81.231306,,,,,,0
WELLBOND,1925.0,Wellington at Bond  NB - #1925,,42.968858,-81.234644,,,,,,0
WELLBRA1,1926.0,Wellington North of Bradley  NB - #1926,,42.935398,-81.223745,,,,,,0
WELLBRA2,1927.0,Wellington at Bradley  SB - #1927,,42.933922,-81.223468,,,,,,0
WELLCHES,1929.0,Wellington at Chester NB - #1929,,42.96436,-81.231661,,,,,,0
WELLCOLG,1930.0,Wellington at Colgrove Pl SB - #1930,,42.970156,-81.236499,,,,,,0
WELLCOM1,1931.0,Wellington at Commissioners NB - #1931,,42.958872,-81.230199,,,,,,0
WELLCOM4,1933.0,Wellington South of Commissioners SB - #1933,,42.957854,-81.230256,,,,,,0
WELLCRES,1934.0,Wellington at Creston Ave NB - #1934,,42.946286,-81.227132,,,,,,0
WELLDEAR,1935.0,Wellington at Dearness NB - #1935,,42.929847,-81.219712,,,,,,0
WELLDUN3,1939.0,Wellington South of Dundas St NB - #1939,,42.984487,-81.244884,,,,,,0
WELLEXE1,1940.0,Wellington at Exeter NB - #1940,,42.926829,-81.217786,,,,,,0
WELLEXE2,1941.0,Wellington at Exeter SB - #1941,,42.927087,-81.2183,,,,,,0
WELLGRA1,1942.0,Wellington at Grand Ave NB - #1942,,42.972393,-81.238086,,,,,,0
WELLGRA2,1943.0,Wellington at Grand SB - #1943,,42.972119,-81.23806,,,,,,0
WELLGRE2,1945.0,Wellington at Grey SB - #1945,,42.977378,-81.241642,,,,,,0
WELLHOR1,1947.0,Wellington North of Horton NB - #1947,,42.98049,-81.242866,,,,,,0
WELLMCL1,1950.0,Wellington at McClary AVE NB - #1950,,42.970589,-81.236686,,,,,,0
WELLMON1,1952.0,Wellington at Montgomery Gate NB - #1952,,42.939082,-81.224643,,,,,,0
WELLMON2,1953.0,Wellington South of Montgomery Gate SB - #1953,,42.936868,-81.224381,,,,,,0
WELLMON4,1954.0,Wellington North of Montgomery G.t SB - #1954,,42.939705,-81.225036,,,,,,0
WELLNAD1,1956.0,705 Wellington SB - #1956,,42.94844,-81.228036,,,,,,0
WELLNADI,1957.0,Wellington at Creston SB - #1957,,42.946946,-81.227657,,,,,,0
WELLPERC,1958.0,Wellington at Percy SB - #1958,,42.963536,-81.231625,,,,,,0
WELLSDA1,1963.0,Wellington South of Southdale NB - #1963,,42.942563,-81.225428,,,,,,0
WELLSDA2,1964.0,Wellington at Southdale SB - #1964,,42.944319,-81.226408,,,,,,0
WELLSDA3,1965.0,Wellington North of Southdale Rd NB - #1965,,42.944743,-81.22623,,,,,,0
WELLSOU2,1969.0,Wellington at South SB - #1969,,42.975173,-81.240561,,,,,,0
WELLTHJA,1970.0,Wellington at Thomas Janes SB - #1970,,42.965569,-81.232118,,,,,,0
WELLWAT1,1971.0,Wellington at Waterman NB - #1971,,42.956452,-81.229685,,,,,,0
WELLWAT2,1972.0,Wellington at Waterman SB - #1972,,42.954466,-81.229486,,,,,,0
WELLWELL,1974.0,Wellington at Wellington Cres SB - #1974,,42.968432,-81.234085,,,,,,0
WELLWIL1,1975.0,Wellington South of Wilkins St NB - #1975,,42.951107,-81.228451,,,,,,0
WELLWIL3,1977.0,Wellington North of Wilkins NB - #1977,,42.9546,-81.229335,,,,,,0
WELLWIL4,1978.0,Wellington South of Wilkins SB - #1978,,42.951023,-81.228688,,,,,,0
WELLYOR1,1979.0,Wellington at York NB - #1979,,42.982917,-81.244106,,,,,,0
WELLYOR2,1980.0,Wellington at York SB - #1980,,42.982963,-81.244483,,,,,,0
WESTBAS1,1985.0,Westminster at Baseline Rd NB - #1985,,42.964112,-81.224824,,,,,,0
WESTBAS2,1986.0,Westminster at Baseline Rd SB - #1986,,42.964256,-81.22495,,,,,,0
WESTESSE,1991.0,Western at Essex St NB - #1991,,42.995468,-81.266679,,,,,,0
WESTHOL1,1992.0,Western at Hollywood Cres NB - #1992,,42.996215,-81.27057,,,,,,0
WESTHOL2,1993.0,Western at Hollywood Crt SB - #1993,,42.996161,-81.27083,,,,,,0
WESTMAL1,1997.0,Westmount Mall at Stop 1 - #1997,,42.947415,-81.29255,,,,,,0
WESTMAL2,1998.0,Westmount Mall at Stop 2 - #1998,,42.947407,-81.292334,,,,,,0
WESTMAL3,1999.0,Westmount Mall at Stop 3 - #1999,,42.947484,-81.292059,,,,,,0
WESTPLA1,2001.0,Western at Platts Lane NB - #2001,,42.996613,-81.274624,,,,,,0
WESTPLA2,2002.0,Western at Platts Lane SB - #2002,,42.996341,-81.274171,,,,,,0
WESTSAR4,2004.0,Althouse College - #2004,,42.999141,-81.276379,,,,,,0
WESTWHE1,2007.0,Westminster at Whetter Ave NB - #2007,,42.965611,-81.225135,,,,,,0
WESTWHE2,2008.0,Westminster at Whetter Ave SB - #2008,,42.966196,-81.225409,,,,,,0
WHARBAS1,2015.0,Wharncliffe & Base Line FS NB - #2015,,42.959796,-81.261022,,,,,,0
WHARBAS2,2016.0,Wharncliffe at BaseLine NS SB - #2016,,42.959545,-81.261148,,,,,,0
WHARBYR1,2022.0,Wharncliffe at Byron NB - #2022,,42.973704,-81.262004,,,,,,0
WHARBYR2,2023.0,Wharncliffe at Byron  SB - #2023,,42.974058,-81.262197,,,,,,0
WHARCENT,2024.0,Wharncliffe at Center SB - #2024,,42.961302,-81.261271,,,,,,0
WHARCOM1,2026.0,Wharncliffe at Commissioners NB - #2026,,42.957951,-81.260699,,,,,,0
WHARCOM2,2027.0,Wharncliffe at Commissioners SB - #2027,,42.957599,-81.260802,,,,,,0
WHARDEVO,2029.0,Wharncliffe at Devonshire  NB - #2029,,42.962375,-81.2612,,,,,,0
WHARELM1,2031.0,Wharncliffe at Elmwood NB - #2031,,42.969997,-81.261765,,,,,,0
WHARELM2,2032.0,Wharncliffe at Elmwood SB - #2032,,42.970327,-81.261912,,,,,,0
WHAREME1,2033.0,Wharncliffe at Emery NB - #2033,,42.964157,-81.261322,,,,,,0
WHAREME2,2034.0,Wharncliffe at Emery SB - #2034,,42.963383,-81.261459,,,,,,0
WHAREMPR,2035.0,Wharncliffe at Blackfriars NB - #2035,,42.989011,-81.263182,,,,,,0
WHAREUCL,2037.0,Wharncliffe at Euclid NB - #2037,,42.97506,-81.262093,,,,,,0
WHARLEXI,2041.0,Wharncliffe at Lexington  SB - #2041,,42.986463,-81.263031,,,,,,0
WHARMCDO,2042.0,Western at Essex SB - #2042,,42.995329,-81.266835,,,,,,0
WHARMOIR,2043.0,Wharncliffe at Moir NB - #2043,,42.986267,-81.262822,,,,,,0
WHARMPL1,2044.0,Wharncliffe at Mount Pleasant NB - #2044,,42.984451,-81.262743,,,,,,0
WHARMPL2,2045.0,Wharncliffe at Mt. Pleasant Ave SB - #2045,,42.984249,-81.262931,,,,,,0
WHAROXF1,2046.0,Wharncliffe at Oxford NB - #2046,,42.992239,-81.264852,,,,,,0
WHAROXF2,2047.0,Wharncliffe at Oxford SB - #2047,,42.992144,-81.265068,,,,,,0
WHARPAUL,2049.0,Wharncliffe at Paul SB - #2049,,42.98908,-81.263431,,,,,,0
WHARRIG1,2050.0,Wharncliffe at The Ridgeway NB - #2050,,42.979274,-81.262382,,,,,,0
WHARRIG2,2051.0,Wharncliffe at The Ridgeway SB - #2051,,42.979557,-81.262542,,,,,,0
WHARTEC1,2054.0,Wharncliffe at Tecumseh NB - #2054,,42.967274,-81.261544,,,,,,0
WHARTEC2,2055.0,Wharncliffe at Tecumseh SB - #2055,,42.967059,-81.261704,,,,,,0
WHARWDAL,2056.0,Wharncliffe at Westdale SB - #2056,,42.944526,-81.257707,,,,,,0
WHARWYAT,2057.0,Wharncliffe at Wyatt SB - #2057,,42.982171,-81.26279,,,,,,0
WHITOMA3,2060.0,White Oaks Mall Stop 3 - #2060,,42.932033,-81.222974,,,,,,0
WHITOMA1,2061.0,White Oaks Mall Stop 1 - #2061,,42.931378,-81.22283,,,,,,0
WHITOMA2,2062.0,White Oaks Mall Stop 2 - #2062,,42.931714,-81.222633,,,,,,0
WHITOMA4,2063.0,White Oaks Mall Stop 4 - #2063,,42.932158,-81.223251,,,,,,0
WILKCHI1,2066.0,Wilkins at Chiddington Gate NB - #2066,,42.950843,-81.234488,,,,,,0
WILKCHI2,2067.0,Wilkins at Chiddington Gate SB - #2067,,42.951127,-81.234432,,,,,,0
WILLDEAR,2068.0,Willow at Dearness EB - #2068,,42.938624,-81.220898,,,,,,0
WILLOSG1,2069.0,Willow at Osgoode  EB - #2069,,42.938917,-81.218758,,,,,,0
WILLOSG2,2070.0,Willow at Osgoode WB - #2070,,42.93894,-81.218681,,,,,,0
